Message_id,Movie_name,Message
p1_bolly,Aladin 2009 Hindi 720p DvDRip CharmeLeon SilverRG.txt," Do you know how boring it is to live alone? Watch this, Grandpa? You will be proud. I have mastered this trick now. If you don't study.....how will you go on adventures, like your dad? "
p2_bolly,Aladin 2009 Hindi 720p DvDRip CharmeLeon SilverRG.txt,Bengali? Just hear me out clearly. I guess you are unaware of the fact.....you are now the proud owner of a magical lamp and three wishes. Understand. Come. Come. 
p3_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd1.txt," These are your days to love Whatever happens, you be hale and hearty. You are the beauty's pride. You are a beautiful gesture. You are the secret of love. "
p4_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd1.txt,Voice of my heart. Secret of love. A beautiful gesture. Beauty's pride. You are the beauty's pride. You are a beautiful gesture. Love you with all my heart 
p5_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd1.txt,Secret of love. A beautiful gesture. Beauty's pride. You are the beauty's pride. You are a beautiful gesture. Love you with all my heart Love you with all my soul. 
p6_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt," Hail Alam Ara! For the worldly comforts, people usually forget that....they won't be here forever. In this short lifespan they have to do such deeds....so that they can face God with pride. Minister of State and Daaraab committed lot of sins....to gain worldly comforts. But the sake of God, I forgive them. "
p7_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt,Hail Alam Ara! Hail Alam Ara! Myself or the Queen have no right on Alam Ara....more than this good man who took care of an....innocent child and educated her thus making us proud of her. With the consent of elders....l accept the marriage of Alam Ara and Shah Mansoor. Congratulations. 
p8_bolly,Aap.Kaa.Surroor.2007.DVDRip.CD2.Xvid.AC3.txt,Are you doing a world tour with Sameer Siddiqui? Yes of course. Sameer Siddiqui is a great artist. Excellent artist. And we are proud to do our world tour with him We'll soon be doing a big tour with him. What about Himesh Reshamiya 
p9_bolly,Albela (2001) Hindi 720p WEBHDRip x264 AC3 DD 5.1 E-Subs - LOKI - M2Tv.txt," Of course Ma'am. Thank you Tony. I feel proud of myself today. No doubt, I am a guide. I never got to see so much till today. I had a great time. I'm sorry. I'll leave. "
p10_bolly,Albela 1951.txt," But Madam... - We enjoyed, didn't we? Of course Ma'am. - Thank you Tony. I feel proud of myself today. No doubt, I am a guide. I never got to see so much till today. I'm sorry. I'll leave. What is it? - I want to say something. "
p11_bolly,Albela [2001] DVDRip_AC3_SuB_XviD [Dus].txt," Of course Ma'am. Thank you Tony. I feel proud of  myself today. No doubt, I am a guide. I never got to see so much till today. I'm sorry. I'll leave. - what is it? - I want to say something. "
