Message_id,Movie_name,Message
WP0_holly,Big Hero 6,"- Aunt Cass? - FRED: Unless it's moldy.  We'll, uh... We'll catch up, okay?  Sure, I'm so proud of you.  Both of you.  BOTH: Thanks, Aunt Cass."
WP1_holly,Big Hero 6,"BOTH: Thanks, Aunt Cass.  Hero: I know what you're going to say.  ""I should be proud of myself,  ""because I'm finally using my gift  ""for something important."""
WP2_holly,Bound by Flesh,"not just for them but for all live entertainers.  - Burlesque, in its day,  prided itself on being a little sleazy  but a little bit big-time but not too big-time  that everybody couldn't sort of show up"
WP3_holly,Bound by Flesh,"and it never did.  And it became one of those things, sort of like Freaks,  that they weren't very proud of but were stuck promoting.  - They were so out of it  by that point in time in their lives,"
WP4_holly,The Marine 2,"Well--  Not to put ideas in your head, but--  You know I'm proud of you... whether you're saving the world or sweeping a floor.  whether you're saving the world or sweeping a floor.  You know, I knew there was some good reason I married you."
WP5_holly,Doctor Strange,"he'd lost everyone he ever loved.  He was a grieving, broken man searching for answers in the mystic arts.  A brilliant student, but he was proud, headstrong.  He questioned the Ancient One, rejected her teaching.  He left Kamar-Taj."
WP6_holly,Foxcatcher,I want to go to Worlds and win gold.  I want to go to the 88 Olympics in Seoul and win gold.  Good! I'm proud of you.  Are you getting the support that you need?  What do you mean sir?
WP7_holly,Foxcatcher,"Smart, Mark... this could be a real good thing for you.  this could be a real good thing for you.  I'm proud of you.  I think you can make something real good for yourself here.  - Yeah? - Yeah."
WP8_holly,Foxcatcher,- That's impressive. - Isn't that impressive?  Thank You.  We're very very proud of him.  I am so proud to introduce my mentor.  He has the ability to look at me and I see where I am in life.
WP9_holly,Foxcatcher,Thank You.  We're very very proud of him.  I am so proud to introduce my mentor.  He has the ability to look at me and I see where I am in life.  I feel his love for me as an athlete and as a human being.
WP10_holly,Thirty Day Princess,"To vamp me out of exposing that rotten loan.  It isn't a rotten loan.  Pretty proud of yourself, aren't you?  No.  Made a fine sap out of me, didn't you?"
WP11_holly,Two-Faced Woman,I haven't seen you alone.  Let me look at my brother-in-law.  I'm very proud of my little sister.  Promise me one thing. That you won't judge her by me.  There's no danger. Good.
WP12_holly,Ladies of Leisure,"Some day we'll come back with our kids.  And you'll take her in your arms, I know you will, dad.  And you'll be proud of me, too.  What do you say, dad?  Jerry... if you marry that girl, I never want to see you again."
WP13_holly,Tyson,"Hey, Cus. I did it. Just like you said.  Yeah, but eight seconds. What took you so long?  I'm proud of you, Mike. Really proud.  Come on, Mike. Let's get this crap inside.  I been doing some thinking while you were away. Uh... Well, me and Camille both, actually."
WP14_holly,Crazy,"Kitchen.  I could understand him  being proud of Christian, or Antoine.  But Raymond?  Aren't you going to introduce us?"
WP15_holly,Crazy,I used my magic age as if it were a wand  And never saw the waste and emptiness beyond  The game of love I played with arrogance and pride  And every flame I lit too quickly quickly died  The friends I made all seemed somehow to drift away
WP16_holly,Crazy,You want a shotgun?  A coke.  Same.  I'm very proud of you.  What's so funny?  Check those two out.  Little Zac sure seems to like his cousin.
WP17_holly,Crisis,"An addiction-free painkiller was always his goal,  and you found it.  You've done our family proud, Meg.  It was only possible through your support, gentlemen.  I'm pleased we were able to deliver for you."
WP18_holly,Cyborg 3 The Recycler,She is the first of our kind to become one of their kind.  We're all part creator because of her -  and that makes me feel proud.  She is living proof that we are not just a machine.  She is our future.
WP19_holly,Life Partners,"Did you call me a slut         back there?     Yeah.  I don't even know where that came from.  You ready to get proud?                 Oh, dude. Dude.              I'm here. I'm queer.          Better get used to it."
WP20_holly,Life Partners,"¶ Our frame gets broken ¶  ¶ Then mends again ¶¶      Mmm, thank you for coming     to Pride with me today.  Thank you for letting me sleep over.  I was way too tired to drive home.                     As usual."
WP21_holly,Die Fighting,"- He is very famous in china.  I think it's great.  You should be proud, jess.  - Thank you.  - You'll be close to."
WP22_holly,Young Man with a Horn,"Oh, he couldn't come. He's sorry, Smoke. He asked me to meet you.  It's wonderful seeing you. I've been hearing your records.  - I'm real proud of you. - Thank you, Smoke.  - Rick has done all right too. - We always knew he'd hit it.  It's gonna be like old times."
WP23_holly,Deadline,"- Why are you here? - Why?  I saw your name in that piece we ran on the Murray Hill trial.  I was proud, Mrs Whatever-Your-Name-ls... and I wanted to tell you that.  and I wanted to tell you that.  Thank you."
WP24_holly,Deadline,"- Why are you here? - Why?  I saw your name in that piece we ran on the Murray Hill trial.  I was proud, Mrs Whatever-Your-Name-ls... and I wanted to tell you that.  and I wanted to tell you that.  Thank you."
WP25_holly,The Hunger Games Mockingjay - Part 1,Everyone inside that hospital has committed treason.  Show them what it costs to be friends with Katniss Everdeen.  Your mom's gonna be proud of you when she sees the footage.  - Will this play in the districts? - It'll be tattooed on their eyes.  - There's a problem. - What kinda problem?
WP26_holly,Love and Honor,"unenlightened, if you want,  but I'll tell you,  I'm damn proud to say I followed that man into battle,  and I followed him home in protest.  - Why didn't you tell me?"
WP27_holly,Love and Honor,"and you're gonna make  like our friend Mr. Brick Dick back there.  You're gonna stand tall, proud,  and never flag in your conviction.  - What?"
WP28_holly,Last Weekend,"- Oh, Theo, of course.  Don't get hysterical.  I'm so proud of you.  - How about you come next year for more than a weekend?  - Oh, my God."
WP29_holly,Dolphin Tale 2,"I've pulled anchovies off of pizzas that were bigger than that.  Hey, everyone. Great hustle.  Really good work. I'm so proud of everyone. That's fantastic.  Great job, guys. Really good.  Now all we can do is hope."
WP30_holly,Demoted,"Take it easy at first.  23 minutes, 42 seconds. One more lap.  Lance Armstrong would be proud.  Good job, Betty. You run like a champion.  This workout stuff's fun."
WP31_holly,Demoted,I'm not gonna like it.  - Rodney. - Yeah?  I'm so proud of you.  I really am. The whole promotion and everything... I'm just... I just wanted to tell you that.  I'm just... I just wanted to tell you that.
WP32_holly,Demoted,They told me everything. They told me how much you've changed.  They told me how much you've helped them.  I'm so proud of you.  We thought you needed a backup plan.  I gave her the same advice you guys gave me.
WP33_holly,Demoted,"Yes. Yes, I did.  I promise, this time I really got the promotion.  - I'm proud of you, son. - Thank you, sir.  Excuse me.  Hi, sweetheart."
WP34_holly,When the Game Stands Tall,"And that's okay, because the greatest moments of my life  were the times I've spent on this team with you.  I've never been prouder of anything than being a Spartan.  ♪♪♪  When we first watched Poly's film, and I saw Buster Matthews... I was scared."
WP35_holly,When the Game Stands Tall,"Here we go, baby, 41 blast into the record books.  TAYSHON: Hoo-hoo-hoo. Here we go.  It's the last play of the game, dog. Make me proud.  ♪♪♪  ♪ This is where it all began ♪"
WP36_holly,The Boy Who Cried Werewolf,"It was you the whole time.  Surprise!  Well, you are now the proud.  Owner of a thousand-year-old.  Romanian castle."
WP37_holly,The Boy Who Cried Werewolf,"To madame varcolac.  Sorry.  Go, go, go, go!  I'm proud of you, hunter!  Come on.  My kids are werewolves.  Say hello to Uncle dragomir."
WP38_holly,Alien Nation Dark Horizon,"To your room I'll take you.  I wanna see Mom. I'm really worried about her.  Of your father you must be very proud.  The police fight the Overseers, yes?  No. They don't let them do that here."
WP39_holly,Enchantment,"I should try to appear more sensitively bred.  Really, Selina. There was no need for that.  The child has pride. I'm going to bring her back.  Wait a moment, please.  I'm not unkind. I simply know what's best for her."
WP40_holly,Enchantment,"When you love someone,  you... you do everything and don't expect payment.  My pride wouldn't let me do that... take everything and give nothing in return.  I have no pride, then.  I'd let someone do everything for me if... if it made whoever it was happy."
WP41_holly,Enchantment,"you... you do everything and don't expect payment.  My pride wouldn't let me do that... take everything and give nothing in return.  I have no pride, then.  I'd let someone do everything for me if... if it made whoever it was happy.  if it made whoever it was happy."
WP42_holly,Enchantment,"I'll manage my own life, Selina.  Then manage it. Don't throw it away.  You'll be Chief of Staff one day. We'll be so proud of you.  General Sir Roland Dane.  No. If I have to choose between my army career and Lark,"
WP43_holly,Ragamuffin,"As Zion comes up to close us in song,  I want to leave you with this question.  Would Christ be proud of you?  Yeah, I don't want to be disrespectful. I know we're guests here, but... I kind of think how disrespectful it would be  I kind of think how disrespectful it would be"
WP44_holly,Ragamuffin,"Ah. Okay, let's go, let's go, let's go.  Who's smoking?  - Hey. - Ohhh. So proud of you.  - Wayne. - Hey,Dad.  You look like a girl with that long hair."
WP45_holly,Ragamuffin,"Absolutely.  You've got a very talented son here.  You must be a very proud father.  No, I'm proud of all my kids.  Two boys, two girls,"
WP46_holly,Ragamuffin,"You've got a very talented son here.  You must be a very proud father.  No, I'm proud of all my kids.  Two boys, two girls,  and a...piano player."
WP47_holly,Ragamuffin,"But keep brave.  ""I once wrote you on October 21st, 1955.  ""Richard made me a... ""a very proud man.""  ""a very proud man.""  I'm up here in this cloud of witnesses and you can ask anything."
WP48_holly,Ragamuffin,"""I once wrote you on October 21st, 1955.  ""Richard made me a... ""a very proud man.""  ""a very proud man.""  I'm up here in this cloud of witnesses and you can ask anything.  I brag about you all the time..."
WP49_holly,Anne of the Indies,"Six English merchantmen in the past month.  Six more hostages in hell for my brother's soul.  You've scoured the sea like a broom. I'm proud of you.  It was you who taught me my trade.  And in gratitude, I've brought you a souvenir of my last purchase."
WP50_holly,Anne of the Indies,"Your attention, gentlemen.  What am I offered for this rare beauty?  Now, this is not an ordinary savage... ...but a proud daughter of the Aztecs... ...a princess of the New World.  ...a princess of the New World.  One thousand drachmas from Yussef Ibn Ibrahim."
WP51_holly,Hellbenders,"You? You're more damnation ready than me?  Yes, sure I am. How do you figure?  I mean, look, gluttony, wrath, pride.  You're pretty solid, but you've got one count... One count of lust.  One count of lust."
WP52_holly,Tell,I'm so glad I got that off of my chest.  I feel better already.  I'm so proud of you.  Cheers to old acquaintances reunited.  And making amends.
WP53_holly,Bring It On In It To Win It,"Hi, everybody.  Qelcome to Camp Spirit Thunder.  This year, we're so proud to welcome  a new member to our family, okay.  I heard she's really tough."
WP54_holly,Wild,"Sorry for ignoring you in college - It was not like  In addition we agreed, is rare study with your mom  It is not because this is not proud of you I am very proud of you  You know I'm also proud of my  God there is so much to learn I knew it was pretty but"
WP55_holly,Wild,"In addition we agreed, is rare study with your mom  It is not because this is not proud of you I am very proud of you  You know I'm also proud of my  God there is so much to learn I knew it was pretty but  But not so much"
WP56_holly,Wild,If you're reading this means you've walked 100 miles in the desert  Anything q has passed between us as much as we hate or're annoying  Despite this I am very proud of you  And we will be more when finished  While writing you left so It is as if nothing
WP57_holly,Scooby-Doo! Abracadabra-Doo,"I guess we Dinkley sisters have something in common after all.  Thank you, ladies and gentlemen.  The Cone Castle Creamery, makers of those cones that make you moan... is proud to sponsor the very first show... by the students of the Merlin Brothers' Academy of Magic.  by the students of the Merlin Brothers' Academy of Magic.  And now your hosts, Marlon and Whirlen... the Brothers Merlin."
WP58_holly,Into the Woods,"Jack was reunited with his beloved cow,  and his mother could now dress in the best a golden egg could buy.  And the Baker and his wife were proud parents  of a strapping baby boy.  Thanks for the slipper!"
WP59_holly,Into the Woods,"I think my granny and my mother would be upset with me.  Why?  They said to always make them proud.  And here I am, about to kill somebody.  Not somebody."
WP60_holly,The Interview,"- This is so scary. - Aardvark?  You're being extremely brave.  Everybody here is very proud of you.  - My tummy's all scraped up and wet. - Aardvark,  I'm gonna rub your tummy when you get back, don't worry."
WP61_holly,A Madea Christmas,"It is beautiful. This place is stupendous.  My mama and daddy... Sorry. I'm sorry.  They just would've been so proud. Thank you.  - Thank you. - Thank you, Mama.  I was so upset when I heard you two eloped."
WP62_holly,A Madea Christmas,"You gotta understand that.  You have to understand how this makes me feel.  I love you. I'm proud of us. I don't care who knows.  - Are you coming to bed? - You mean the sofa, right?  You know the walls are thin."
WP63_holly,A Madea Christmas,"Every generation sees a little less division... and a little more open minds and open hearts.  and a little more open minds and open hearts.  I think we should be happy and proud... that our kids, our children... see people as people.  see people as people.  That was beautiful."
WP64_holly,A Madea Christmas,"Nothing stops somebody like him from bullying people except pushing back.  That's right. That kid's been a terror to Conner since he was a little boy.  I'm glad you done what you did, Son. I'm proud of you.  Stood up for himself, and that's a good thing.  I'm with you, Lacey. I don't like it."
WP65_holly,A Madea Christmas,"- You care about getting back... - Yeah.  To the heart of who we are as people.  You are so proud to be a part of a town... that doesn't mind keeping the Christ in Christmas... so much so, that they are presenting the McCoy School... with $100,000 a year for the next four years.  with $100,000 a year for the next four years.  - Yeah! Yes! - Yes, yes!"
WP66_holly,A Madea Christmas,"The children of McCoy School... have put together a little presentation for us all... and this has all been under the direction of their current teacher... May be wrong for that.  May be wrong for that.  I am so proud of the kids.  Mrs. Lacey Williams.  - Did she say, ""Mrs. Lacey Williams""? - It was all her idea."
WP67_holly,Let It Snow,♪ With you ♪  ♪ The darlit does his rain to my whole life ♪  ♪ I so pride to ♪  ♪ I don't wanna wait 'til Christmas ♪  ♪ To see you ♪
WP68_holly,The Duchess and the Dirtwater Fox,"used to sing to me in my crib.  You see, children, in this story...  the royal gardener was very proud of his fruit trees.  But he was particularly anxious... that no harm would come to his plums.  that no harm would come to his plums."
WP69_holly,The Duchess and the Dirtwater Fox,"Right quick, 'cause this is your season.  But don't you disgrace me now.  You make sure he's someone I can be proud of.  [ Blows Weak Whistle ]  Oh, Charlie, you stupid bungler."
WP70_holly,Space Chimps 2 Zartog Strikes Back,I'll sneak into this fortress and overthrow that Ham... and all those space chimp buddies of his.  and all those space chimp buddies of his.  I am proud to present... the happy village of Killawallawazoowahoowee.  the happy village of Killawallawazoowahoowee.  Wow!
WP71_holly,Space Chimps 2 Zartog Strikes Back,"Sounds serene.  Well, good to see you again. You're looking uglier than ever.  Be proud of your freakish alien heritage.  - Where's Ham? - Ah.  He's probably in the Simian Center."
WP72_holly,Doctor Strange,"he'd lost everyone he ever loved.  He was a grieving, broken man searching for answers in the mystic arts.  A brilliant student, but he was proud, headstrong.  He questioned the Ancient One, rejected her teaching.  He left Kamar-Taj."
WP73_holly,Avengers Age of Ultron,That someone being you.  You know I totally support your avenging.  I couldn't be prouder.  But I see those guys... Those gods... You don't think they need me.  You don't think they need me.
WP74_holly,X-Men Apocalypse,"What's a mall?  What's a mall?  All right, now this is a matter of national pride. Civic duty.  Scott.  What? You've been cooped up here for a long time... and the Professor's not even home."
WP75_holly,Social Nightmare,"Madam President.  Oh, jeez, Mom.  I'm so proud of you, honey.  And I made a special meal.  Well, I got a special meal."
WP76_holly,Social Nightmare,"onto my hard drive and pulled that quote.  Emily actually believed I would say something like that.  Well, pride can get the best of us.  What do you mean?  Madam President, need I remind you"
WP77_holly,Social Nightmare,"Then the doctor said that it was too dangerous to try anymore,  and that's when your father left.  Oh, Mom... But I'm so proud of you.  But I'm so proud of you.  I'm so proud and so happy"
WP78_holly,Social Nightmare,"and that's when your father left.  Oh, Mom... But I'm so proud of you.  But I'm so proud of you.  I'm so proud and so happy  that you have so many friends and you're so popular"
WP79_holly,Social Nightmare,"Oh, Mom... But I'm so proud of you.  But I'm so proud of you.  I'm so proud and so happy  that you have so many friends and you're so popular  and you're into projects and on teams and you run for office,"
WP80_holly,State Fair,"- It's much better than it was last year. - Oh, okay.  I tell you, he's raring to go.  When I left him just now, he was strutting around prouder than a peacock.  - You'd think he owned the place. - Thank goodness.  Maybe now you'll give me a little time."
WP81_holly,The Unholy,And I got caught up in it... and I thought I was untouchable.  and I thought I was untouchable.  Pride before the fall.  Does everyone quote the Bible around here?  Banfield's always been a place of faith.
WP82_holly,Jimmy the Gent,"Really, Jimmy? Yeah.  But I wanted to get your okay.  I wanted you to be proud of me.  Oh.  And think I came here to crow over you because they scooped you on the Barton case."
WP83_holly,Jimmy the Gent,"What's the matter with that dame?  I don't understand, huh?  First she says she's proud of me and then when I give her some of the details... Details?  Details?  Why, you big silly-looking pickle-pushing blabbering ape... You shattered whole scheme of romance, you know that?"
WP84_holly,Man-Proof,On a sunday afternoon  We'll rent A horse and carriage  And I'll be proud of you  We'll talk about a marriage  On the busy avenue
WP85_holly,Man-Proof,"On the busy avenue  And then we'll ride To the countryside  I'll burst with pride  In your sunday gown, You're the talk of the town  Oh, you can have The twilight"
WP86_holly,The Last Gangster,"Say, you boys aren't drinking.  Ambassador, there's an ex-fellow countryman of yours aboard. Joe Krozac?  - We are not proud of him. - Some people think  there's a lot of glamour about a big shot racketeer.  I do not. I regard him as an enemy of the public,"
WP87_holly,The Last Gangster,"Hey, you! Hey, you little crazy chickadee!  You stay out of my lard bucket!  He's so proud to be going off with his father.  Come now, you'd better hurry, dear.  Yes, I know that. The bus leaves in about 10 minutes."
WP88_holly,The Last Gangster,"- Good-bye, darling. - Good-bye, darling.  - Good-bye - Good-bye, darlings!  That's a pair of men to be proud of, honey.  They're yours forever.  Yes, Gloria."
