Message_id,Movie_name,Message
WS0_holly,Sleeping Beauty,"All of my bones are broken. You're safe.  There's no shame here. No one can see you.  But our rules must be respected. No penetration.  Thank you, Clara."
WS1_holly,Sleeping Beauty,"Courtesy.  You'll be safe here.  There's no shame. No one can see you.  Thank you, Clara.  I do ask that there'll be no penetration."
WS2_holly,Child of God,What about that boy they found up there in that car yesterday evening?  What about him?  Damn shame.  $2.05.  Here we go.
WS3_holly,Thirty Day Princess,"There's an extra 5,000 in it for you if you can.  Confidentially, I'd have done it for four.  ""I should regret having to inform Her Highness that you are ashamed  ""to come after your unwarranted attack on the Taronian bond issue.""  Ashamed, huh?"
WS4_holly,Thirty Day Princess,"""I should regret having to inform Her Highness that you are ashamed  ""to come after your unwarranted attack on the Taronian bond issue.""  Ashamed, huh?  He thought that'd get me. Well, it does.  - You mean you're going? - Why not?"
WS5_holly,Two-Faced Woman,"Larry, you seem to have married into an interesting family.  I think it was very selfish of Karin not to have told me anything about you.  Well, the truth is... Karin is ashamed of me. That skiing nut would be very hard to please.  Karin is ashamed of me. That skiing nut would be very hard to please.  Oh, excuse me, Larry."
WS6_holly,Two-Faced Woman,"I think it was very selfish of Karin not to have told me anything about you.  Well, the truth is... Karin is ashamed of me. That skiing nut would be very hard to please.  Karin is ashamed of me. That skiing nut would be very hard to please.  Oh, excuse me, Larry.  Dear Karin, she always lived the outdoor life while I am a... partial to the indoor life."
WS7_holly,Ladies of Leisure,"We both love him.  And yet only one of us is willing to give him up.  I'm rather ashamed of myself.  And I shall always remember you, my dear.  Oh, I wouldn't if I were you."
WS9_holly,Catch Hell,You come up a whopper.  You just come on out.  Be a real shame expiring in the shitter.  Oh. He outside.  I got you.
WS10_holly,You're Not You,"Best sex of my life.  - Hey, okay, hi. - And now she won't call me back.  Shame on you, Bec. Apologize at once and go out with this fine young man.  - Your friend is very wise. - She also happens to be my boss,  so, you know, she doesn't wanna hear about our time together."
WS11_holly,Crisis,Neither is your reputation.  What is that supposed to mean?  You bring shame upon this university  and it can cost you a hell of a lot more  than your teaching job.
WS12_holly,Die Fighting,"- Your girl?  Hey, padre.  - Shame on you.  - What the hell did you do to his girl?  - Why are you doing this?"
WS14_holly,Death In Love,"So beautiful, and you hide it under theseshmates.  I don't understand it.  What are you ashamed of?  I still have that beautiful jacket I bought for you.  It's waiting in your father's closet"
WS15_holly,Dead Man's Eyes,"Dave, darling.  Of course we know you're blind. And if you wanna talk about it, we will.  It's a dirty shame.  I'm sorry I went overboard like that.  I guess there's no use crying over spilt milk, is there?"
WS16_holly,Deadline,"I'm sorry, honey.  Look at that Sentinel headline.  See, this kind of stuff is just shameless.  ""Nepal Premier Won't Resign."" That is... They're just trying to sell newspapers.  They're just trying to sell newspapers."
WS17_holly,Deadline,"- So we stretch it a little. - You gonna pay for that?  Yes, we stretch the deadline to 8:00.  If we get art on the two kids at the walk of shame, it's ""Gotcha!""  If we miss them, the subway is page one.  The subway is bullshit!"
WS18_holly,Deadline,"I'm sorry, honey.  Look at that Sentinel headline.  See, this kind of stuff is just shameless.  ""Nepal Premier Won't Resign."" That is... They're just trying to sell newspapers.  They're just trying to sell newspapers."
WS19_holly,Deadline,"- So we stretch it a little. - You gonna pay for that?  Yes, we stretch the deadline to 8:00.  If we get art on the two kids at the walk of shame, it's ""Gotcha!""  If we miss them, the subway is page one.  The subway is bullshit!"
WS21_holly,The Green,"Didn't want to lose his trust.  I was afraid of losing him.  I was ashamed.  - Hello? - Hi.  Uh, uh, can I speak with George, please?"
WS22_holly,The Green,"# There's no more reason to miss me #  # And I stand alone... #  # All tied up, and I feel no shame #  # It's a very long evening when all my angels drift away... #  # I cool my fever and bite my tongue #"
WS23_holly,Demoted,"Yeah, okay. So, look,  obviously things got a little out of control last night, okay?  And I'm... all I can say is I'm ashamed.  That's it?  I'm really... I'm really ashamed."
WS24_holly,Demoted,And I'm... all I can say is I'm ashamed.  That's it?  I'm really... I'm really ashamed.  Wow. Do me a favor... keep it together for the engagement party this weekend.  keep it together for the engagement party this weekend.
WS25_holly,Demoted,"Hey, hey, ho, ho,  Treadline shit has got to go.  Shame on Treadline. Take that, Castro.  Oh, that is uncalled for.  Hey, hey, ho, ho, Treadline shit has got to go."
WS26_holly,Alien Nation Dark Horizon,"Tell me, Elliot, what's new on the Purist grapevine?  Does that have to be in here?  You're not ashamed of being a Purist.  - Purist? - Oh, yeah.  Elliot here once burned a Newcomer family out of Glendale."
WS27_holly,Alien Nation Dark Horizon,[Footsteps]  - [Grunts] - Don't you look like what the cat-dragon ate.  You left in a hurry last night. Shame you missed dinner.  We had some wonderful liver filled with whipped cream.  - Nu-Twinks. - [Grunts]
WS31_holly,Enchantment,"it's quite all right with me.  You'll wake Selina.  Aren't you ashamed?  I danced with him only twice when I couldn't find you.  You've always been a darling to me, Pelham."
WS32_holly,Ragamuffin,"I know your whole life story.  I know every skeleton in your closet.  I know every moment of sin and shame and dishonesty  and degraded love that's darkened your past.  Right now, I know your shallow faith, your feeble prayer life,"
WS33_holly,Ragamuffin,"Rich.  You know that you're a ragamuffin  if you're not ashamed to be a ragamuffin.  Much like having the simplicity of a child,  and the poverty of a child, you come before your Abba Father,"
WS34_holly,Ragamuffin,"""Dear Wayne,  ""it's a lot like I told you.  ""Being poor ain't shameful it's just inconvenient.  ""I valued you.""  It's just that I didn't know you."
WS35_holly,Anne of the Indies,"I'll welcome it after your ship.  A poor piece of good, Doctor.  I'm almost ashamed to otter her for sale.  I've got my reputation to think of.  Doesn't it make you sick to think of it?"
WS36_holly,Hellbenders,Exorcise this piece of shit.  In the name of the power of creation commands you.  In the name of God... Flee in shameful defeat from the word made flesh.  Flee in shameful defeat from the word made flesh.  Fall and be judged in fire.
WS37_holly,Hellbenders,In the name of the power of creation commands you.  In the name of God... Flee in shameful defeat from the word made flesh.  Flee in shameful defeat from the word made flesh.  Fall and be judged in fire.  Take off the collar.
WS38_holly,Bring It On In It To Win It,"I even had to get a team scholarship just to get here.  Yeah, so did I.  You know, it's nothing to be ashamed of.  In my case, it is.  What do you mean?"
WS39_holly,Scooby-Doo! Abracadabra-Doo,"The magic staff?  Like, I guess, it really did control the monster after all.  I'm so ashamed.  Who would have thought that miserable Marlon would be behind this?  You would. You knew all along."
WS40_holly,Into the Woods,♪ But I am old ♪ ♪ I am ugly ♪  - ♪ I embarrass you ♪ - No!  ♪ You are ashamed of me ♪  No!  ♪ You are ashamed ♪
WS41_holly,Into the Woods,♪ You are ashamed of me ♪  No!  ♪ You are ashamed ♪  ♪ You don't understand ♪  I'm no longer a child. I wish to see the world.
WS42_holly,Into the Woods,"You stole and you got caught, and you did what you do.  You just ran away.  When your mother died, I was... I hated myself. I ran away from my guilt and my shame.  I hated myself. I ran away from my guilt and my shame.  And your son."
WS43_holly,Into the Woods,"You just ran away.  When your mother died, I was... I hated myself. I ran away from my guilt and my shame.  I hated myself. I ran away from my guilt and my shame.  And your son.  Yes, my son, and I'm sorry for that."
WS45_holly,A Madea Christmas,"Conner, I'm sorry.  - Can I ask you something? - What's that?  - Are you ashamed of me? - No.  Then why won't you tell her?  I've never let my mother down my entire life. Okay?"
WS46_holly,A Madea Christmas,"- Thank you. - All right then.  - Thank you. - Okay.  You oughta be ashamed of yourself.  That ain't being Christian, being that mean to that woman.  I don't eat food from the KKK."
WS47_holly,A Madea Christmas,"- What kind of Christmas present is that? - Oh, damn.  Y'all better have some nitroglycerin or something.  That's a damn shame. Gonna kill that woman on... Hell, I'm stuck in the mud.  Hell, I'm stuck in the mud.  Hell, this ain't mud!"
WS48_holly,A Madea Christmas,"- That's awful. - Good Lord.  - Who told you that? - Mama.  Eileen, you oughta be ashamed... Child, that's some straight-up bull... Madea!  Madea!  Your daddy wasn't killed by no white man."
WS54_holly,The Unholy,Mary's not real!  She lied!  You should be ashamed of yourself!  It's all a fake!  My legs! SOPHIA: Toby!
WS56_holly,Jimmy the Gent,"Kindly serve Mr and Mrs Norton first, Horton.  You will have some tea, won't you?  Mr Wallingham will be so ashamed of being forced to keep you waiting.  Punctuality is our motto, you know.  Miss Martin, please. Certainly, Mr Chalmers."
WS59_holly,The Last Gangster,"And all at once, I feel... old and empty.  Oh, now, Joe probably kept those things from you to make you happy, you know?  Oh, no. I think he knew I'll be sick and ashamed if I knew.  What are you going to do now?  I wait until I see Joe next time,"
WS60_holly,Immigration Tango,"The sonnets are very beautiful, Mike.  Even if your parents don't understand,  you shouldn't be ashamed of what you love.  What a nightmare.  - Bye. - Bye."
WS61_holly,Limelight,"Phyllis! Henry! Stop that!  What do you think you're doing?  You ought to be ashamed of yourselves, fighting like that!  Alright. Phyllis, stay in the box! Henry!  You should have done that before I opened the box."
WS62_holly,Limelight,Why?  You've associated it with the unhappy life of your sister  who paid for your lessons through a life of shame.  You've been ashamed to dance ever since.  I'd despise myself if I thought that.
WS63_holly,Limelight,"You've associated it with the unhappy life of your sister  who paid for your lessons through a life of shame.  You've been ashamed to dance ever since.  I'd despise myself if I thought that.  That's the trouble, you do."
WS64_holly,Limelight,"I was looking for you outside.  What are you doing sitting in the dark?  I'd be ridiculous in the light. Look at me, I'm shameless.  But I can't help it.  My dear, you are a true artist."
WS65_holly,Snake & Mongoose,You still owe me 100. Remember?  You stiffed Donny for 100 bucks?  Cheapskate. Shame on you.  Pay this man his C-note.  Now I know why they call you the Snake.
WS66_holly,Me and My Gal,"It just seems to me the act isn't getting anywhere.  - If you didn't have me around your neck... - Listen to me.  You ought to be ashamed, talking to me like that.  Didn't we make a deal once? Well, didn't we?  You go through medical school and pay me back with interest."
WS67_holly,Me and My Gal,...I really didn't mean it. I was playing you for a sap.  I wanted to fix it so you'd give me a chance to try out with you.  And all that sob stuff about me being ashamed of myself... ...that was just a bid for sympathy. I wasn't ashamed.  ...that was just a bid for sympathy. I wasn't ashamed.  I thought I was being pretty cute.
WS68_holly,Me and My Gal,I wanted to fix it so you'd give me a chance to try out with you.  And all that sob stuff about me being ashamed of myself... ...that was just a bid for sympathy. I wasn't ashamed.  ...that was just a bid for sympathy. I wasn't ashamed.  I thought I was being pretty cute.  I'm ashamed now though.
WS69_holly,Me and My Gal,"...that was just a bid for sympathy. I wasn't ashamed.  I thought I was being pretty cute.  I'm ashamed now though.  And this time, when I say I'm a heel... ...well, I'm not kidding.  ...well, I'm not kidding."
WS70_holly,Me and My Gal,"You'll have to learn how to do it, so please don't poo poo it.  'Cause we got this little dance, it's gonna rise to fame.  It's sure to put most any other dance to shame.  The Turkey Trot, the Bunny Hug, the Tickly Toe,  will be forgotten when we start to go."
WS75_holly,Stars and Stripes Forever,"Ηadn't you better go upstairs with my wife first and see if you can find something less,  uh, shall we say, revealing to put on?  I'm not ashamed of what I'm wearing! Here's your coat! Good night!  Lil, you can't go out like that! You're liable to get arrested or something!  - What if I do? What business is it of yours? - It's plenty of my business,"
WS76_holly,Walking Tall Part II,"Pa.  - I take care of things very well. - I know that you care, son.  Buford... There's no shame if you should give up station ºerif.  There's no shame if you should give up station ºerif.  I know that, Mom."
WS77_holly,Walking Tall Part II,"- I take care of things very well. - I know that you care, son.  Buford... There's no shame if you should give up station ºerif.  There's no shame if you should give up station ºerif.  I know that, Mom.  Always talk about it. Talk much."
WS78_holly,Time Limit,"Have they twisted our thinking so that a man has to be afraid  of a decent instinct?  So that he has to be ashamed to show some concern for his fellow man?  I'm sorry, Mrs. Cargill, but it's an old trick to  hide an ugly reality behind a beautiful phrase."
WS79_holly,Buffalo Girls,"Boy from Beston moves to Buffalo. Gets lonely.  Meets girl. Screws up bigtime.  Nothin' to be ashamed of.  I just wanted some more excitement, you know? I wanted more adventure.  Until recently, all I wanted to do was get the hell outta this small town."
WS81_holly,Rewind This!,"The video boom came out of the facility  to watch this material at home,  and no longer have to be ashamed, theoretically,  to go to a theater.  And I knew that once this door was open"
WS82_holly,The Killing Jar,"No gold watches, pension plans.  Fuck all I got.  That's a fucking shame.  Sorry to disappoint you, you know. But... still not going to tell you  what you want to know."
WS84_holly,Cobain Montage of Heck,"and shouldn't cause any trouble.  I mean, he belittled and ridiculed Kurt.  And Kurt would be ashamed.  I mean, it really hurt him to be embarrassed.  Then, I don't know."
WS85_holly,Cobain Montage of Heck,"Floyd breathes hard, I hear a zip  Pee-pee pressed against my lips  I was shamed  I was shamed  I was shamed"
WS86_holly,Cobain Montage of Heck,"Pee-pee pressed against my lips  I was shamed  I was shamed  I was shamed  OK, thanks, everybody, for coming."
WS87_holly,Cobain Montage of Heck,"I was shamed  I was shamed  I was shamed  OK, thanks, everybody, for coming.  When I met him, he was a handyman."
WS88_holly,Cobain Montage of Heck,"where he was addicted to also the needle prick.  And he burst into tears.  And he... he was just ashamed.  One of the songs that actually, I really liked on In Utero,  but which you took off, was I Hate Myself and Want to Die."
WS89_holly,Cobain Montage of Heck,"I feel kind of happy right now.  Yeah, I do, too.  We're all sensitive to ridicule and shame.  But it seemed to me, having gone through his materials,  that he was hyper-sensitive,"
WS106_holly,99 Homes,"You're the bank's realtor on this eviction.  I need an official statement. What happened and why?  Well, Dudura, it's a real shame cos we arrived here with two pizzas  for Mr Kadwell, the property owner,  but he didn't want anchovies,"
WS108_holly,Suing The Devil,No.  How can you sit there with that smug look on your face  and have no shame?  Objection he's... scolding the witness!  Scolding the witness? What does that mean? I've never even heard of that objection.
WS111_holly,Beethoven's 5th,"Say when.  When.  Shame to see all that ice cream go to waste.  Ahhh!  Mmm... Hey, look at this. Who needs a maid?"
WS112_holly,Beethoven's 5th,"I can smell that. Out of the van.  Man!  You ought to be ashamed of yourself. With the kids?!  I am not drunk. This is Beethoven's fault.  Now you're trying to blame the dog? Arms out, eyes closed."
WS113_holly,A Christmas Kiss,"Hello, Wendy ! - Hello, Charlie ?  Are you working with scenographic team?  Not this year . She's too busy I am . - Shame .  've Created Best Art Direction by I have seen since I work here all these years .  Thank you , Charlie , it's really nice from you , but I'm too busy ."
WS114_holly,Hits,"- Time. - We have pot... we have potholes.  Time. Thank you, Mr. Stuben.  Well, and I think it's a crying shame, Ms. Casserta,  and you should table this.  You and Mr. Hurlickson should table this,"
WS115_holly,Hits,"Last night.  And this was at a meeting?  It's a crying shame, Ms. Casserta,  and you should table this.  You and Mr. Hurlickson... No."
WS116_holly,Hits,"Yeah, bitches!  I'm a veteran of two wars, and I can tell you,  the Founding Fathers would be ashamed of our behavior.  They would laugh at us.  Adding a stop sign at the corner of Dumont and Crawford"
WS118_holly,Thicker than Water,"- How was it? - Okay.  Well... What did you do then?  Like usual. Ate, drank, socialized and felt ashamed.  It's true what everyone says you just fall back into old roles?  - To do what. - What was your role?"
WS119_holly,The SpongeBob Movie Sponge Out of Water,"Much. Thank you.  But the discomfort I feel in my eyes is nothing  compared to the shame I feel for letting down the Patty.  For letting down Bikini Bottom.  Yeah, SpongeBob, you really blew it."
WS120_holly,Unchained,Posts it to Instagram.  Fuck you.  Testost-- Fuck.  Shame.  He's finished.  I'll handle it.  We'll be back for the count.
WS121_holly,About Alex,"Right around the same time you traded in for those shoes.  This whole footwear smear campaign is really cutting me deep.  It's a real shame. Maybe you should commit suicide.  What? Is that too soon?  Alex is laughing, look at that. It's a good joke."
WS124_holly,Run All Night,"- Yo, look at his face. - Sorry, man.  Get the fuck out of here.  - You started it. - Walk of shame.  Yo, Mike, you knocked him the fuck out.  - Hey, what'd I tell you about talking like that? - My bust."
WS127_holly,Stargate SG-1 Children of the Gods - Final Cut,"Yes. Very nice, indeed.  But I am not the one you must finally please.  A shame.  So, I figured that there had to be  more to this place, so I started exploring."
WS129_holly,Hardbodies,"""Blame it on this man""  ""I'll take 'em down""  ""Blame it on me""  ""I feel no shame""  ""I did it""  ""And I'm glad""  ""I did it, 'cause I'm a man"""
WS130_holly,Hardbodies,"""I'll take the blame""  ""Blame it on me""  ""I'll feel no shame""  ""She was a young thing""  ""In the prime of her life"""
WS133_holly,The Stone Boy,"Why do you put all the blame on me? That's where it lies, ain't it?  You just got a need. That's all, just a strong need.  Nothin' to be ashamed about.  [Whimpering, crying] Andy, i just wanna go home. Please.  I just wanna walk home."
WS134_holly,Danny Collins,You did this.  You did this to yourself.  Shame on you.  That was good.  Thanks. I've been practicing since you gave me the bagels.
WS135_holly,The Even Stevens Movie,"thanks to family friends Alan Twitty and Tawny Dean.  Now, what prompted you two to call Gotcha with this great prank?  Guilt and shame.   I would just like to say  that embarrassing innocent people on TV for fun and profit is one of the lowest..."
WS136_holly,GMO OMG,"its raw data.  Monsanto has refused.  The shame is that in North America,  you don't have any traceability of the food,  so you don't know really who has eaten what."
WS137_holly,GMO OMG,"The harvest left no food for you to eat  You cannibal, you meat-eaten you see  But I have seen the same I know the shame in your defeat  But will hold on hope  And I won't let you choke"
WS138_holly,Problem Child 3,"- Bad boy! - He's obviously delirious from the pain.  You poor boy. What you must be going through.  The guilt. The shame.  Luckily, there's a cure.  A nose job?"
WS141_holly,Night of the Demon,"It may have been minor, but it had claws and teeth.  Oh, claws and teeth.  Did you bite the man? Oh, shame.  I don't keep you as a watch cat. I left the book in full sight for him.  His name is Greymalkin."
WS143_holly,Hansel & Gretel Warriors of Witchcraft,"It's been her all along.  Clever boy.  A shame things didn't work out between us.  You would've made a formidable ally.  For centuries I've lived here, preying on the weak."
WS144_holly,Balls Out,- Barry-- - Father Walsh.  - Barry-- - She just-- she pushed me.  I couldn't help it. Shame on you.  - Barry-- - It was Whitesnake.  - Barry-- - ♪ Here I go again on my own... ♪
WS146_holly,The Surrogate,"My penis speaks to me, Father Brendan.  Sometimes I ejaculate during a bed bath in front of my attendants.  All I feel is shame and mortification while other men apparently get pleasure. I... I'm sorry if I sound angry.  I'm sorry if I sound angry.  Don't worry about it. Go on."
WS147_holly,The Keeper,I need to know who I married.  Tell me the worst thing you've ever done.  The thing you're most ashamed of.  Can you tell me that?  Man City goalie has an Iron Cross!
WS148_holly,The Keeper,"And all because it's easier than forgiveness.  You know, you're no better than the people you accuse.  Shame on both of ya!  You disgust me!  - What? - You disgust me, all of you!"
WS149_holly,Supremacy,"And if I should happen to overhear something  that you didn't report to me,  that would be a fucking shame, right?  - Yes. - Yeah.  A downright fucking tragedy."
WS150_holly,TalhotBlond,"I`m so sorry, Carol.  You should be.  You should also be ashamed of yourself.  That little girl is only 18 years old.  She could be your own daughter."
WS151_holly,Love & Air Sex,"I'll buy shots.  Stan, I understand if you want to sit out on the bench tonight.  I get that you have body-shame issues, you've got fat knees,  that's not your fault, all right?  But it doesn't mean you can't still bang some strange this evening, buddy."
