Message_id,Movie_name,Message
s1_bolly,Alaap 1977.txt, Are you listening? Both are shaking hands. What are they saying? Aren't you ashamed? Want to hear the talks between your daughter and future son-in-law? Can I take some benefit of our acquaintance? 
s2_bolly,Alaap 1977.txt," Okay, I will not tell him that you had come here. Look, Alok is in love with me and I love him too. Shameless one! Have you lost all your shame? What is there to be ashamed in this? Don't sisters love their brothers in this vicinity? "
s3_bolly,Alaap 1977.txt," Look, Alok is in love with me and I love him too. Shameless one! Have you lost all your shame? What is there to be ashamed in this? Don't sisters love their brothers in this vicinity? Okay, I am going. "
s4_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd1.txt," Your Majesty, if a girl child would have been a curse....why would have God blessed His messengers with daughters? You know how much the Prophet loved his daughter. And..l don't care Qazi Sahab (Holy Man). The royal palace won't be stained. I cannot bow down in shame. I shall have her killed....if she delivers a girl child yet again. By any means, save me and my innocent child. Do not lose hope Your Highness. God will surely protect you. "
s5_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd1.txt," Say it. Say it Prince. Say it son. What's the shame in studies? Say it. Bismillah..Your Majesty, Prince is too young now. He will surely understand slowly with time. "
s6_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt, They are a disgrace to out town! This man comes here at night and stays home all day. Shame on you! God's name on the lips and such a character? What are you waiting for? Kill them. 
s7_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt," The criminal is yelling at us? Brothers, you are mistaken. Aren't you ashamed to call us your brothers? Arrest them! Come God's own people. "
s8_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt," Another proof of crime. - True! If he was not a criminal why did he escape? It is very shameful that the one whom....are subjects worshipped, loved and praised so much....has set an example of being characterless. As per the law of the state....l sentence the criminal to being stoned. Carry out my orders. "
s9_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt, You are also born out of a woman. Your tribe marry girls and bring them here....if they would have been killed....neither you nor your tribe would be existent. What? Shall we become shameless too just like the tribesmen? And should we bow before others begging....them to marry our daughters? This shall not happen. 
s10_bolly,Alam Ara (1973) Xvid 2cd [DDR].cd2.txt, And should we bow before others begging....them to marry our daughters? This shall not happen. Neither will the girls be alive here nor shall....we be ashamed of ourselves. You cannot kill the life which God has given. I won't let you commit the sin. 
s11_bolly,Alibaba Aur 40 Chor (1980) DVD-RlP  by aPn.txt," You will be able to buy water. - What will the poor do, Qazi sahib? Why not petition the Badshah to build the dam once again? Come hell or high water...What a shame! The Badshah will never build the dam. That's because he can't afford to build it. "
s12_bolly,Alibaba Aur 40 Chor (1980) DVD-RlP  by aPn.txt, There's another condition. - Accepted. Morgiana doesn't enter this house. You robbed your brother blind. Now you want to throw him...out of the house? Aren't you ashamed? This house isn't mine anymore. I won't bring Morgiana here. And I'll return your 1000 Dinars. Consider all this my parting gift. 
s13_bolly,Aligarh (2016) - DVDRip - x264 - 720p - AC3 - [DDR].txt, Think about your future. Write the letter. What should I write? That you're ashamed for whatever happened that night. That's it. Give me an envelope. 
s14_bolly,Aligarh (2016) - DVDRip - x264 - 720p - AC3 - [DDR].txt, They took off my clothes. I kept pleading......not to hit my friend. Just......just so shameful. When suddenly...four of my colleagues came in my bedroom. Your colleagues? 
