Message_id,Person Who Felt the Emotion,Gender,Cause
p1_bolly,grandpa,male,mastering a trick
p2_bolly,Bengali,male,owning a magical lamp
p3_bolly,,,
p4_bolly,,,
p5_bolly,,,
p6_bolly,speaker,male,forgiving sins
p7_bolly,good man,male,educating and raising an innocent child
p8_bolly,speaker,,association with a great artist
p9_bolly,Tony,male,personal achievement
p10_bolly,Tony,male,
p11_bolly,Tony,male,
p12_bolly,Alibaba,male,fulfilling father's dreams
p13_bolly,mother,male,provide care for old parents
p14_bolly,,,
p15_bolly,soon to-be husband,male,fiancee's physical appearance
p16_bolly,soon to-be husband,male,wife's physical beauty
p17_bolly,,,
p18_bolly,son,male,buying a mill
p19_bolly,Mr Naresh,male,his wealth
p20_bolly,Thakur,male,
p21_bolly,Rajeshwar,male,selling land for community benefit
p22_bolly,,,
p23_bolly,Amber,male,bravery and rightful ownership of the throne
p24_bolly,sister,female,wealth
p25_bolly,son,male,dying for country's freedom
p26_bolly,son,male,dying for country's freedom
p27_bolly,Royal mother of Magadh,female,Victory of Magadh
p28_bolly,Sir,male,Deepak's appointment as Junior Lecturer
p29_bolly,teacher,,equal concern for all students
p30_bolly,Sir,male,Deepak's appointment as Junior Lecturer
p31_bolly,teacher,,equal concern for all students
p32_bolly,Govind,male,
p33_bolly,peasant's son,male,not begging despite starvation
p34_bolly,you,gender not specified,financial independence
p35_bolly,royal astrologer,male,
p36_bolly,Ahinsak's mother,female,son's potential to bring peace and make country proud
p37_bolly,father-in-law,male,
p38_bolly,second speaker,,wealth
p39_bolly,speaker 2,,wealth
p40_bolly,Daddy,male,son's business acumen and decency
p41_bolly,character,,love beyond caste or creed
p42_bolly,Shilpa,female,winning a case
p43_bolly,Shilpa,female,winning a case
p44_bolly,Deepak,male,making the other person worthy
p45_bolly,family,,not disgracing the family
p46_bolly,,,
p47_bolly,child,,father's integrity
p48_bolly,Shanta,female,
p49_bolly,,,
p50_bolly,speaker,,expectation of making proud
p51_bolly,,,
p52_bolly,speaker,,personal achievement
p53_bolly,brave boy,male,financial contribution to temple
p54_bolly,Professor Shastri's father,male,son's career choice
p55_bolly,wife,female,husband's truthfulness
p56_bolly,wife,female,husband's religious adherence
