Message_id,Person Who Felt the Emotion,Gender,Cause
s1_bolly,parent,,eavesdropping on private conversation
s2_bolly,speaker,female,expressing love for a man
s3_bolly,Alok's lover,Female,Incestuous relationship
s4_bolly,queen,female,giving birth to a girl child
s5_bolly,Prince,Male,Poor academic performance
s6_bolly,man,male,immoral behavior
s7_bolly,criminals,Male,criminal activities
s8_bolly,criminal,,being characterless and committing crime
s9_bolly,tribesmen,Male,disrespecting women and forcing them into marriage
s10_bolly,girl's parent,,not able to marry off their daughters
s11_bolly,Badshah,Male,inability to provide basic amenities
s12_bolly,brother,Male,greed and betrayal
s13_bolly,Unnamed character,,past actions
s14_bolly,victim,likely female,sexual assault
s15_bolly,Siras,Male,inappropriate behavior
s16_bolly,Inder Bhalla,Male,asking for financial help
s17_bolly,speaker,,behaving inappropriately in public
s18_bolly,dancer,female,dancing shamelessly
s19_bolly,woman,female,asking for money for husband's final rites
s20_bolly,protagonist,female,forced into prostitution
s21_bolly,soon-to-be wife,Female,objectification of her body
s22_bolly,Uncle,Male,Not considering doctor's advice
s23_bolly,Mr Purshottam,Male,Arrogance and pride due to wealth
s24_bolly,Mr Pradeep,Male,indecent behavior
s25_bolly,Bihari,Male,indecent behavior
s26_bolly,man,male,inappropriate behavior towards a woman
s27_bolly,Meena,Female,Being close to a man
s28_bolly,speaker,gender not specified,self-doubt
s29_bolly,girl,female,meeting a man secretly
s30_bolly,System,,poor law and regulations
s31_bolly,women,female,lack of basic amenities
s32_bolly,son,male,theft and betrayal
s33_bolly,villagers,,not appreciating someone's sacrifice
s34_bolly,villagers,,not taking responsibility and blaming others
s35_bolly,character,likely male,stealing
s36_bolly,father,male,accused of murder
s37_bolly,employee,male,incompetence in securing a business contract
s38_bolly,Mr. Bhuvan,Male,succumbing to peer pressure
s39_bolly,speaker,likely male,drinking habit
s40_bolly,man,male,attempted rape
s41_bolly,people being addressed,,incompetence/failure
s42_bolly,speaker,male,not fulfilling his duty
s43_bolly,speaker,,not fulfilling duty earlier
s44_bolly,Mandira,Female,Leaving her husband and begging
s45_bolly,elder brother figure,Male,taking advantage of a vulnerable situation
s46_bolly,elder brother figure,Male,inappropriate behavior towards a woman
s47_bolly,sister-in-law,Female,alleged infidelity
s48_bolly,person attempting suicide,,attempting suicide
s49_bolly,character being addressed,likely male,not being aggressive or assertive
s50_bolly,Nepal Babu,Male,Robbing people
s51_bolly,Mr Anand,Male,being shameless
s52_bolly,Nandu,Male,associating with a prostitute
s53_bolly,Mister,Male,staying with wife without consummating marriage
s54_bolly,Mister,Male,living with wife in a shared space
s55_bolly,brother,male,favoring another woman over his family
s56_bolly,bride,female,not providing dowry
s57_bolly,Munni's father,Male,not providing the promised dowry
s58_bolly,Munni's father,Male,not providing dowry
s59_bolly,girl,female,expressing her feelings
s60_bolly,guys,Male,knocking down a small boy
s61_bolly,character following girls,Male,stalking/harassing girls
s62_bolly,Deepa,Female,Shamelessness/Inappropriate behavior
s63_bolly,boys,Male,inappropriate behavior
s64_bolly,boy,male,being pushy or intrusive
s65_bolly,men,male,chasing girls
s66_bolly,man,male,expressing his feelings openly
s67_bolly,Unnamed character,,spoiling chances
s68_bolly,female character,Female,inappropriate behavior
s69_bolly,women,Female,working instead of taking care of the family
s70_bolly,women,Female,working instead of taking care of the family
s71_bolly,women,Female,working instead of taking care of the family
s72_bolly,speaker,female,sexual assault
s73_bolly,owner of the house,likely male,lack of awareness about household matters
s74_bolly,Yogi Vishwamitra,Male,inappropriate behavior
s75_bolly,man,male,inappropriate behavior towards a woman
s76_bolly,Mr. Mehra,Male,shameful behavior leading to disinheritance
s77_bolly,Archana,Female,being claimed by another man while her husband is missing
s78_bolly,Shanti,Female,Not accepting the end of a relationship
