Message_id,Person Who Felt the Emotion,Gender,Cause
WP0_holly,Aunt Cass,female,
WP1_holly,Hero,male,using his gift for something important
WP2_holly,Burlesque,,being a little sleazy but a little bit big-time
WP3_holly,They,,promoting something they weren't proud of
WP4_holly,spouse,gender not explicit,for being a hard worker regardless of the task
WP5_holly,He,male,being a brilliant student
WP6_holly,Sir,male,winning olympic gold
WP7_holly,Unnamed character,gender NA,for potential success
WP8_holly,mentor,gender not explicit,for the person's achievements
WP9_holly,mentor,gender NA,for the speaker's achievements and growth
WP10_holly,,,
WP11_holly,brother-in-law,male,
WP12_holly,Jerry,male,marrying a specific girl
WP13_holly,Cus,male,
WP14_holly,him,male,
WP15_holly,,,
WP16_holly,,,
WP17_holly,Meg,female,finding an addiction-free painkiller
WP18_holly,speaker,not specified,being part of creating a unique individual
WP19_holly,Dude,male,coming out as queer
WP20_holly,,,
WP21_holly,Jess,female,being famous in China
WP22_holly,Smoke,male,for the success in music
WP23_holly,Mrs Whatever-Your-Name-ls,female,being mentioned in a piece on the Murray Hill trial
WP24_holly,Mrs Whatever-Your-Name-ls,female,being mentioned in a piece on the Murray Hill trial
WP25_holly,mom,female,
WP26_holly,unenlightened,male,following a leader into battle and home in protest
WP27_holly,,,
WP28_holly,Theo,male,
WP29_holly,speaker,gender not explicit,team's great hustle and good work
WP30_holly,Lance Armstrong,male,Betty's running performance
WP31_holly,Rodney,male,getting a promotion
WP32_holly,Unnamed character,gender NA,helping others
WP33_holly,father,male,for getting the promotion
WP34_holly,speaker,gender NA,being a Spartan
WP35_holly,Tayshon,male,last play of the game
WP36_holly,you,gender not explicit,owning a thousand-year-old Romanian castle
WP37_holly,Uncle Dragomir,male,
WP38_holly,father,male,
WP39_holly,Selina,female,
WP40_holly,,,
WP41_holly,My,male,giving without expecting anything in return
WP42_holly,Selina,female,becoming Chief of Staff
WP43_holly,,,
WP44_holly,Wayne,male,
WP45_holly,father,male,his children's talents
WP46_holly,father,male,talented children
WP47_holly,Richard,male,
WP48_holly,Richard,male,
WP49_holly,You,male,scouring the sea and capturing merchantmen
WP50_holly,auctioneer,male,selling a rare Aztec princess
WP51_holly,,,
WP52_holly,old acquaintance,gender NA,making amends
WP53_holly,Camp Spirit Thunder,,welcoming a new member
WP54_holly,mom,female,
WP55_holly,,,
WP56_holly,,,
WP57_holly,Cone Castle Creamery,,sponsoring the first show by the students of the Merlin Brothers' Academy of Magic
WP58_holly,Baker and his wife,not specified,having a strapping baby boy
WP59_holly,,,
WP60_holly,Everybody,Not specified,being brave
WP61_holly,Mama,female,
WP62_holly,us,not specified,
WP63_holly,speaker,gender NA,children's open-mindedness and acceptance
WP64_holly,father,male,standing up against bullying
WP65_holly,speaker,gender not explicit,being part of a town that keeps the Christ in Christmas and receiving a donation for the school
WP66_holly,Mrs. Lacey Williams,female,kids' presentation
WP67_holly,,,
WP68_holly,royal gardener,male,his fruit trees
WP69_holly,speaker,gender not explicit,for making sure the person in question is someone to be proud of
WP70_holly,,,
WP71_holly,,,
WP72_holly,He,male,being a brilliant student and headstrong
WP73_holly,speaker 1,gender NA,supporting avenging
WP74_holly,Scott,male,
WP75_holly,Mom,female,becoming the president
WP76_holly,Madam President,female,
WP77_holly,Mom,female,
WP78_holly,Mom,female,child's popularity and having many friends
WP79_holly,Mom,female,child's popularity and involvement in various activities
WP80_holly,He,male,
WP81_holly,,,
WP82_holly,Jimmy,male,
WP83_holly,dame,female,
WP84_holly,Speaker 1,gender not explicit,proposing marriage
WP85_holly,speaker,gender NA,
WP86_holly,Ambassador,male,
WP87_holly,He,male,going off with his father
WP88_holly,Gloria,female,having a pair of men to be proud of
WP89_holly,old man,male,his son's bravery
WP90_holly,Joe,male,
WP91_holly,Joe,male,being Joe Krozac's son
WP92_holly,,,
WP93_holly,American,Not clear,being an American
WP94_holly,,,
WP95_holly,Mike White,male,achieving a PhD
WP96_holly,Reggie,male,writing pieces from the Pacific during the war
WP97_holly,parent,gender NA,for their child
WP98_holly,Unidentified speaker,unknown,
WP99_holly,,,
WP100_holly,Captain,male,
WP101_holly,Henry,male,losing his inner fight
WP102_holly,we,not specified,publishing iceberg slim books
WP103_holly,Ed,male,putting together a successful deal
WP104_holly,Dad,male,choosing journalism school
WP105_holly,dad,male,choosing journalism and doing good sam stories
WP106_holly,speaker,gender NA,for what the person has done
WP107_holly,Unknown,Unknown,
WP108_holly,Gus,male,
WP109_holly,Princess,female,regaining their pride
WP110_holly,Lily,female,owning a doll shoppe
WP111_holly,proud beauty,female,
WP112_holly,Richard,male,personal pride
WP113_holly,Richard,male,personal pride
WP114_holly,Richard,male,personal pride
WP115_holly,,,
WP116_holly,Opal Mayer,female,
WP117_holly,Mama Lynch,female,
WP118_holly,,,
WP119_holly,,,
WP120_holly,,,
WP121_holly,,,
WP122_holly,Lord,male,
WP123_holly,speaker,gender not explicit,coming up with an idea
WP124_holly,,,
WP125_holly,Bianca,female,playing football
WP126_holly,unidentified speaker,unknown,being an artist
WP127_holly,Ole,male,Tony showing courage
WP128_holly,speaker,gender not explicit,"having 82 movies that start with ""dead"" ""death"" and ""deadly"""
WP129_holly,speaker,gender NA,having a fun tape in collection
WP130_holly,Ronald Koontz,male,producing the film
WP131_holly,,,
WP132_holly,,,
WP133_holly,Man,male,representing a great family
WP134_holly,Mom,female,son's sports achievement
WP135_holly,Vita,female,
WP136_holly,speaker,gender NA,training together and reaching a significant moment
WP137_holly,First speaker,gender NA,cursing normally
WP138_holly,speaker,gender not explicit,for being naturally beautiful
WP139_holly,Coach P,female,overcoming tragedy and succeeding
WP140_holly,speaker,gender not explicit,
WP141_holly,mom,female,
WP142_holly,celebrity,gender not explicit,making the country proud
WP143_holly,sweetheart,gender not explicit,
WP144_holly,,,
WP145_holly,Honey,female,
WP146_holly,speaker,gender not explicit,for the takedown
WP147_holly,Griffith Wagner Enterprises,,presenting the Victoria Harbour Tunnel
WP148_holly,Abraham Lincoln,male,military success of Marquis
WP149_holly,My,male,his sketches
WP150_holly,,,
WP151_holly,,,
WP152_holly,speaker,gender NA,making his mother proud through his rhymes
WP153_holly,Les,male,
WP154_holly,,,
WP155_holly,speaker,gender NA,outsmarting someone
WP156_holly,speaker,gender NA,being flexible and considerate
WP157_holly,guy,male,being an American
WP158_holly,guy,male,being an American
WP159_holly,speaker,male,being an American
WP160_holly,speaker,gender NA,being American
WP161_holly,speaker,gender not explicit,being Irish
WP162_holly,,,
WP163_holly,,,
WP164_holly,,,
WP165_holly,,,
WP166_holly,,,
WP167_holly,,,
WP168_holly,,,
WP169_holly,Speaker 1,gender not explicit,having a predisposition for colon cancer
WP170_holly,,,
WP171_holly,,,
WP172_holly,,,
WP173_holly,Senor Blanco,male,
WP174_holly,dad,male,being a father
WP175_holly,,,
WP176_holly,,,
WP177_holly,,,
WP178_holly,Jim,male,
WP179_holly,,,
WP180_holly,speaker 1,gender not explicit,for handling the situation
WP181_holly,myself,not specified,opening a mechanical combo
WP182_holly,daddy,male,
WP183_holly,,,
WP184_holly,Jamie,male,
WP185_holly,Gotham City,,an ordinary citizen standing up for what's right
WP186_holly,,,
WP187_holly,Unnamed character,gender unknown,being trained by a great warrior
WP188_holly,Mummy,female,for behaving like a gentleman
WP189_holly,speaker,gender not explicit,Phil's brilliance and giftedness
WP190_holly,O'Neer,gender not explicit,making smooth moonshine
WP191_holly,,,
WP192_holly,Surgeon,male,his surgical work
WP193_holly,speaker,gender not explicit,for the experimental work benefiting every living human being
WP194_holly,Samantha,female,becoming a new addition to the family
WP195_holly,,,
WP196_holly,Juan,male,being a good cowboy
WP197_holly,father,male,teaching his son to be a proud American
WP198_holly,father,male,teaching his son to be a proud American
WP199_holly,,,
WP200_holly,Mudslide Crush,Not clear,being the cool guys and pride of Mesa High
WP201_holly,subterranean characters,not specified,being subterranean
WP202_holly,,,
WP203_holly,,,
WP204_holly,,,
WP205_holly,Mom,female,
WP206_holly,Speaker,gender NA,Ray's unspecified achievement
WP207_holly,,,
WP208_holly,captain,male,
WP209_holly,captain,male,
WP210_holly,parents,not explicit,receiving a scholarship
WP211_holly,Mary,female,
WP212_holly,They,Not clear,their products and innovations
WP213_holly,Ma,female,son's strength and goodness
WP214_holly,Speaker 1,gender not explicit,for growing up
WP215_holly,speaker,gender not explicit,introducing a special message
WP216_holly,,,
WP217_holly,Dad,male,for not quitting
WP218_holly,,,
WP219_holly,Mortville Elementary School Duvane Dance Academy and Krazy Krunch Cereal,not specified, presenting Peter Pan
WP220_holly,Pablo,male,gaining his son's respect
WP221_holly,Robert,male,managing money effectively
WP222_holly,we,not specified,owning a house
WP223_holly,unknown,unknown,helping someone trust people again
WP224_holly,Rose,female,
WP225_holly,Miami Dolphins,not specified,welcoming back their beloved mascot and star of halftime show
WP226_holly,Mother,female,her homemade ice cream
WP227_holly,Daddy,male,
WP228_holly,Jeff,male,
WP229_holly,business manager,male,competitive spirit
WP230_holly,,,
WP231_holly,,,
WP232_holly,,,
WP233_holly,unknown,unknown,playing well
WP234_holly,,,
WP235_holly,We,not specified,baseball team's success
WP236_holly,outreach program representative,not specified,offering scholarships to worthwhile individuals
WP237_holly,Mayor,male,Scooby-Doo winning the Big Kahuna of Hanahuna Surfing Contest
WP238_holly,Marlboro cigarettes and Dow Chemical,not specified,participating in killing people
WP239_holly,Marlboro cigarettes and Dow Chemical,not applicable,participating
WP240_holly,Mom,female,daughter not meeting her beauty standards
WP241_holly,speaker,gender not explicit,having a gay child
WP242_holly,baby,gender not explicit,hard work
WP243_holly,Davey,male,taking the radio from the crash
WP244_holly,new father,male,having a daughter
